"","X.1","X","remakes_title","remakes_year","originals_title","originals_year","yearsBetween","key","remakes_shortTitle","remakes_key","originals_shortTitle","originals_key"
"1",1,1,"12 Angry Men (1997) dir. William Friedkin",1997,"Twelve Angry Men (1954) dir. Franklin Schaffner",1954,43,"12 Angry Men (1997) dir. William Friedkin (1997)","12 Angry Men ","12 Angry Men (1997)","Twelve Angry Men ","Twelve Angry Men (1954)"
"2",2,2,"12 Angry Men (1957) dir. Sidney Lumet",1957,"Twelve Angry Men (1954) dir. Franklin Schaffner",1954,3,"12 Angry Men (1957) dir. Sidney Lumet (1957)","12 Angry Men ","12 Angry Men (1957)","Twelve Angry Men ","Twelve Angry Men (1954)"
"3",3,3,"13 (2010) dir. G̩la Babluani",2010,"13 Tzameti (2005) dir. G̩la Babluani",2005,5,"13 (2010) dir. G̩la Babluani (2010)","13 ","13 (2010)","13 Tzameti ","13 Tzameti (2005)"
"4",4,4,"13 Assassins (2011) dir. Takashi Miike",2011,"J��san-nin no shikaku (1963) dir. Eiichi Kudo",1963,48,"13 Assassins (2011) dir. Takashi Miike (2011)","13 Assassins ","13 Assassins (2011)","J��san-nin no shikaku ","J��san-nin no shikaku (1963)"
"5",5,5,"The 13th Letter (1951) dir. Otto Preminger",1951,"Le Corbeau (1943) dir. Henri-Georges Clouzot",1943,8,"The 13th Letter (1951) dir. Otto Preminger (1951)","The 13th Letter ","The 13th Letter (1951)","Le Corbeau ","Le Corbeau (1943)"
"6",6,6,"101 Dalmatians (1996) dir. Stephen Herek",1996,"One Hundred and One Dalmatians (1961) dir. Clyde Geronimi
Based on the novel by Dodie Smith",1961,35,"101 Dalmatians (1996) dir. Stephen Herek (1996)","101 Dalmatians ","101 Dalmatians (1996)","One Hundred and One Dalmatians ","One Hundred and One Dalmatians (1961)"
"7",7,7,"2001 Maniacs (2005) dir. Tim Sullivan",2005,"Two Thousand Maniacs! (1964) dir. Herschell Gordon Lewis",1964,41,"2001 Maniacs (2005) dir. Tim Sullivan (2005)","2001 Maniacs ","2001 Maniacs (2005)","Two Thousand Maniacs! ","Two Thousand Maniacs! (1964)"
"8",8,8,"Three Godfathers (1936) dir. Richard Boleslawski",1936,"Hell's Heroes (1930) dir. William Wyler",1930,6,"Three Godfathers (1936) dir. Richard Boleslawski (1936)","Three Godfathers ","Three Godfathers (1936)","Hell's Heroes ","Hell's Heroes (1930)"
"9",9,9,"3 Godfathers (1948) dir. John Ford",1948,"Hell's Heroes (1930) dir. William Wyler",1930,18,"3 Godfathers (1948) dir. John Ford (1948)","3 Godfathers ","3 Godfathers (1948)","Hell's Heroes ","Hell's Heroes (1930)"
"10",10,10,"3 Idiotas (2017) dir. Carlos Bolado",2017,"3 Idiots (2009) dir. Rajkumar Hirani",2009,8,"3 Idiotas (2017) dir. Carlos Bolado (2017)","3 Idiotas ","3 Idiotas (2017)","3 Idiots ","3 Idiots (2009)"
"11",11,11,"3:10 to Yuma (2007) dir. James Mangold",2007,"3:10 to Yuma (1957) dir. Delmer Daves",1957,50,"3:10 to Yuma (2007) dir. James Mangold (2007)","3:10 to Yuma ","3:10 to Yuma (2007)","3:10 to Yuma ","3:10 to Yuma (1957)"
"12",12,12,"Nineteen Eighty-Four (1984) dir. Michael Radford",1984,"1984 (1956) dir. Michael AndersonNineteen Eighty-Four (1954) dir. Rudolph Cartier1984 (1953) dir. Paul Nickell",1956,28,"Nineteen Eighty-Four (1984) dir. Michael Radford (1984)","Nineteen Eighty-Four ","Nineteen Eighty-Four (1984)","1984 ","1984 (1956)"
"13",13,13,"A Southern Yankee (1948) dir. Edward Sedgwick",1948,"The General (1926) dir. Buster Keaton & Clyde Bruckman",1926,22,"A Southern Yankee (1948) dir. Edward Sedgwick (1948)","A Southern Yankee ","A Southern Yankee (1948)","The General ","The General (1926)"
"14",14,14,"Adventures of Don Juan (1948) dir. Vincent Sherman",1948,"Don Juan (1926) dir. Alan Crosland",1926,22,"Adventures of Don Juan (1948) dir. Vincent Sherman (1948)","Adventures of Don Juan ","Adventures of Don Juan (1948)","Don Juan ","Don Juan (1926)"
"15",15,15,"An Affair to Remember (1957) dir. Leo McCarey",1957,"Love Affair (1939) dir. Leo McCarey",1939,18,"An Affair to Remember (1957) dir. Leo McCarey (1957)","An Affair to Remember ","An Affair to Remember (1957)","Love Affair ","Love Affair (1939)"
"16",16,16,"Against All Odds (1984) dir. Taylor Hackford",1984,"Out of the Past (1947) dir. Jacques Tourneur",1947,37,"Against All Odds (1984) dir. Taylor Hackford (1984)","Against All Odds ","Against All Odds (1984)","Out of the Past ","Out of the Past (1947)"
"17",17,17,"Alfie (2004) dir. Charles Shyer",2004,"Alfie (1966) dir. Lewis Gilbert",1966,38,"Alfie (2004) dir. Charles Shyer (2004)","Alfie ","Alfie (2004)","Alfie ","Alfie (1966)"
"18",18,18,"Algiers (1938) dir. John Cromwell",1938,"P̩p̩ le Moko (1937) dir. Julien Duvivier",1937,1,"Algiers (1938) dir. John Cromwell (1938)","Algiers ","Algiers (1938)","P̩p̩ le Moko ","P̩p̩ le Moko (1937)"
"19",19,19,"All Quiet on the Western Front (1979) dir. Delbert Mann",1979,"All Quiet on the Western Front (1930) dir. Lewis Milestone",1930,49,"All Quiet on the Western Front (1979) dir. Delbert Mann (1979)","All Quiet on the Western Front ","All Quiet on the Western Front (1979)","All Quiet on the Western Front ","All Quiet on the Western Front (1930)"
"20",20,20,"Always (1989) dir. Steven Spielberg",1989,"A Guy Named Joe (1943) dir. Victor Fleming",1943,46,"Always (1989) dir. Steven Spielberg (1989)","Always ","Always (1989)","A Guy Named Joe ","A Guy Named Joe (1943)"
"21",21,21,"The Amityville Horror (2005) dir. Andrew Douglas",2005,"The Amityville Horror (1979) dir. Stuart Rosenberg
Based on the novel by Jay Anson",1979,26,"The Amityville Horror (2005) dir. Andrew Douglas (2005)","The Amityville Horror ","The Amityville Horror (2005)","The Amityville Horror ","The Amityville Horror (1979)"
"22",22,22,"And God Created Woman (1988) dir. Roger Vadim",1988,"Et Dieu... cr̩a la femme (1956) dir. Roger Vadim",1956,32,"And God Created Woman (1988) dir. Roger Vadim (1988)","And God Created Woman ","And God Created Woman (1988)","Et Dieu... cr̩a la femme ","Et Dieu... cr̩a la femme (1956)"
"23",23,23,"And Soon the Darkness (2010) dir. Marcos Efron",2010,"And Soon the Darkness (1970) dir. Robert Fuest",1970,40,"And Soon the Darkness (2010) dir. Marcos Efron (2010)","And Soon the Darkness ","And Soon the Darkness (2010)","And Soon the Darkness ","And Soon the Darkness (1970)"
"24",24,24,"Angels in the Outfield (1994) dir. William Dear",1994,"Angels in the Outfield (1951) dir. Clarence Brown",1951,43,"Angels in the Outfield (1994) dir. William Dear (1994)","Angels in the Outfield ","Angels in the Outfield (1994)","Angels in the Outfield ","Angels in the Outfield (1951)"
"25",25,25,"Angel on My Shoulder (1980) dir. John Berry",1980,"Angel on My Shoulder (1946) dir. Archie Mayo",1946,34,"Angel on My Shoulder (1980) dir. John Berry (1980)","Angel on My Shoulder ","Angel on My Shoulder (1980)","Angel on My Shoulder ","Angel on My Shoulder (1946)"
"26",26,26,"Annie (2014) dir. Will GluckAnnie (1999) dir. Rob Marshall",2014,"Annie (1982) dir. John Huston
Both based on the Thomas Meehan/Charles Strouse/Martin Charnin musical, which in turn came from the comic strip Little Orphan Annie, by Harold Gray",1982,32,"Annie (2014) dir. Will GluckAnnie (1999) dir. Rob Marshall (2014)","Annie ","Annie (2014)","Annie ","Annie (1982)"
"27",27,27,"Annavaram (2006) dir. Bhimaneni Srinivas Rao",2006,"Thirupaachi (2005) dir. Perarasu",2005,1,"Annavaram (2006) dir. Bhimaneni Srinivas Rao (2006)","Annavaram ","Annavaram (2006)","Thirupaachi ","Thirupaachi (2005)"
"28",28,28,"Another Fine Mess (1930) dir. James Parrott",1930,"Duck Soup (1927) dir. Fred Guiol",1927,3,"Another Fine Mess (1930) dir. James Parrott (1930)","Another Fine Mess ","Another Fine Mess (1930)","Duck Soup ","Duck Soup (1927)"
"29",29,29,"Another Part of the Forest (1972) dir. Daniel Mann",1972,"Another Part of the Forest (1948) dir. Michael Gordon",1948,24,"Another Part of the Forest (1972) dir. Daniel Mann (1972)","Another Part of the Forest ","Another Part of the Forest (1972)","Another Part of the Forest ","Another Part of the Forest (1948)"
"30",30,30,"Anthropophagous 2000 (1999) dir. Andreas Schnaas",1999,"Antropophagus (1980) dir. Joe D'Amato",1980,19,"Anthropophagous 2000 (1999) dir. Andreas Schnaas (1999)","Anthropophagous 2000 ","Anthropophagous 2000 (1999)","Antropophagus ","Antropophagus (1980)"
"31",31,31,"Applause (1973) dir. Ron Field & Bill Foster",1973,"All About Eve (1950) dir. Joseph L. Mankiewicz",1950,23,"Applause (1973) dir. Ron Field & Bill Foster (1973)","Applause ","Applause (1973)","All About Eve ","All About Eve (1950)"
"32",32,32,"April Fool's Day (2008) dir. Mitchell Altieri & Phil Flores",2008,"April Fool's Day (1986) dir. Fred Walton",1986,22,"April Fool's Day (2008) dir. Mitchell Altieri & Phil Flores (2008)","April Fool's Day ","April Fool's Day (2008)","April Fool's Day ","April Fool's Day (1986)"
"33",33,33,"Bhool Bhulaiyaa (2008) dir. Priyadarshan",2008,"Manichitrathazhu (1993) dir. Fazil",1993,15,"Bhool Bhulaiyaa (2008) dir. Priyadarshan (2008)","Bhool Bhulaiyaa ","Bhool Bhulaiyaa (2008)","Manichitrathazhu ","Manichitrathazhu (1993)"
"34",34,34,"Rajmohol (2005) dir. Swapan Saha",2005,"Manichitrathazhu (1993) dir. Fazil",1993,12,"Rajmohol (2005) dir. Swapan Saha (2005)","Rajmohol ","Rajmohol (2005)","Manichitrathazhu ","Manichitrathazhu (1993)"
"35",35,35,"Chandramukhi (2005) dir. P. Vasu",2005,"Manichitrathazhu (1993) dir. Fazil",1993,12,"Chandramukhi (2005) dir. P. Vasu (2005)","Chandramukhi ","Chandramukhi (2005)","Manichitrathazhu ","Manichitrathazhu (1993)"
"36",36,36,"Apthamitra (2004) dir. P. Vasu",2004,"Manichitrathazhu (1993) dir. Fazil",1993,11,"Apthamitra (2004) dir. P. Vasu (2004)","Apthamitra ","Apthamitra (2004)","Manichitrathazhu ","Manichitrathazhu (1993)"
"37",37,37,"Around the World in 80 Days (1956) dir. Michael Anderson",1956,"Around the World in Eighty Days (1919) dir. Richard Oswald",1919,37,"Around the World in 80 Days (1956) dir. Michael Anderson (1956)","Around the World in 80 Days ","Around the World in 80 Days (1956)","Around the World in Eighty Days ","Around the World in Eighty Days (1919)"
"38",38,38,"Around the World in 80 Days (2004) dir. Frank Coraci",2004,"Around the World in Eighty Days (1919) dir. Richard Oswald",1919,85,"Around the World in 80 Days (2004) dir. Frank Coraci (2004)","Around the World in 80 Days ","Around the World in 80 Days (2004)","Around the World in Eighty Days ","Around the World in Eighty Days (1919)"
"39",39,39,"The Arena (2001) dir. Timur Bekmambetov",2001,"The Arena (1974) dir. Steve Carver",1974,27,"The Arena (2001) dir. Timur Bekmambetov (2001)","The Arena ","The Arena (2001)","The Arena ","The Arena (1974)"
"40",40,40,"Arthur (2011) dir. Jason Winer",2011,"Arthur (1981) dir. Steve Gordon",1981,30,"Arthur (2011) dir. Jason Winer (2011)","Arthur ","Arthur (2011)","Arthur ","Arthur (1981)"
"41",41,41,"Assault on Precinct 13 (2005) dir. Jean-Fran̤ois Richet",2005,"Assault on Precinct 13 (1976) dir. John Carpenter",1976,29,"Assault on Precinct 13 (2005) dir. Jean-Fran̤ois Richet (2005)","Assault on Precinct 13 ","Assault on Precinct 13 (2005)","Assault on Precinct 13 ","Assault on Precinct 13 (1976)"
"42",42,42,"Attack of the 50 Ft. Woman (1993) dir. Christopher Guest",1993,"Attack of the 50 Foot Woman (1958) dir. Nathan H. Juran",1958,35,"Attack of the 50 Ft. Woman (1993) dir. Christopher Guest (1993)","Attack of the 50 Ft. Woman ","Attack of the 50 Ft. Woman (1993)","Attack of the 50 Foot Woman ","Attack of the 50 Foot Woman (1958)"
"43",43,43,"The Bachelor (1999) dir. Gary Sinyor",1999,"Seven Chances (1925) dir. Buster Keaton",1925,74,"The Bachelor (1999) dir. Gary Sinyor (1999)","The Bachelor ","The Bachelor (1999)","Seven Chances ","Seven Chances (1925)"
"44",44,44,"Bachelor Mother (1939) dir. Garson Kanin",1939,"Little Mother (1935) dir. Henry Koster",1935,4,"Bachelor Mother (1939) dir. Garson Kanin (1939)","Bachelor Mother ","Bachelor Mother (1939)","Little Mother ","Little Mother (1935)"
"45",45,45,"Back Street (1941) dir. Robert Stevenson",1941,"Back Street (1932) dir. John M. Stahl",1932,9,"Back Street (1941) dir. Robert Stevenson (1941)","Back Street ","Back Street (1941)","Back Street ","Back Street (1932)"
"46",46,46,"Back Street (1961) dir. David Miller",1961,"Back Street (1932) dir. John M. Stahl",1932,29,"Back Street (1961) dir. David Miller (1961)","Back Street ","Back Street (1961)","Back Street ","Back Street (1932)"
"47",47,47,"Bad News Bears (2005) dir. Richard Linklater",2005,"The Bad News Bears (1976) dir. Michael Ritchie",1976,29,"Bad News Bears (2005) dir. Richard Linklater (2005)","Bad News Bears ","Bad News Bears (2005)","The Bad News Bears ","The Bad News Bears (1976)"
"48",48,48,"The Ballad of Narayama (1983) dir. Shohei Imamura",1983,"The Ballad of Narayama (1958) dir. Keisuke Kinoshita",1958,25,"The Ballad of Narayama (1983) dir. Shohei Imamura (1983)","The Ballad of Narayama ","The Ballad of Narayama (1983)","The Ballad of Narayama ","The Ballad of Narayama (1958)"
"49",49,49,"The Bad Seed (1985) dir. Paul Wendkos",1985,"The Bad Seed (1956) dir. Mervyn LeRoy",1956,29,"The Bad Seed (1985) dir. Paul Wendkos (1985)","The Bad Seed ","The Bad Seed (1985)","The Bad Seed ","The Bad Seed (1956)"
"50",50,50,"Bangkok Dangerous (2008) dir. The Pang Brothers",2008,"Bangkok Dangerous (1999) dir. The Pang Brothers",1999,9,"Bangkok Dangerous (2008) dir. The Pang Brothers (2008)","Bangkok Dangerous ","Bangkok Dangerous (2008)","Bangkok Dangerous ","Bangkok Dangerous (1999)"
"51",51,51,"A Night in Casablanca (1946) dir. Archie Mayo",1946,"Casablanca (1942) dir. Michael Curtiz",1942,4,"A Night in Casablanca (1946) dir. Archie Mayo (1946)","A Night in Casablanca ","A Night in Casablanca (1946)","Casablanca ","Casablanca (1942)"
"52",52,52,"Barb Wire (1996) dir. David Hogan",1996,"Casablanca (1942) dir. Michael Curtiz",1942,54,"Barb Wire (1996) dir. David Hogan (1996)","Barb Wire ","Barb Wire (1996)","Casablanca ","Casablanca (1942)"
"53",53,53,"The Magnificent Seven (1960) John Sturges",1960,"Shichinin no samurai (1954) dir. Akira Kurosawa",1954,6,"The Magnificent Seven (1960) John Sturges (1960)","The Magnificent Seven ","The Magnificent Seven (1960)","Shichinin no samurai ","Shichinin no samurai (1954)"
"54",54,54,"Battle Beyond the Stars (1980) dir. Jimmy T. Murakami",1980,"Shichinin no samurai (1954) dir. Akira Kurosawa",1954,26,"Battle Beyond the Stars (1980) dir. Jimmy T. Murakami (1980)","Battle Beyond the Stars ","Battle Beyond the Stars (1980)","Shichinin no samurai ","Shichinin no samurai (1954)"
"55",55,55,"The Magnificent Seven (2016) dir. Antoine Fuqua",2016,"Shichinin no samurai (1954) dir. Akira Kurosawa",1954,62,"The Magnificent Seven (2016) dir. Antoine Fuqua (2016)","The Magnificent Seven ","The Magnificent Seven (2016)","Shichinin no samurai ","Shichinin no samurai (1954)"
"56",56,56,"The Battle of the Sexes (1928) dir. D. W. Griffith",1928,"The Battle of the Sexes (1914) dir. D. W. Griffith",1914,14,"The Battle of the Sexes (1928) dir. D. W. Griffith (1928)","The Battle of the Sexes ","The Battle of the Sexes (1928)","The Battle of the Sexes ","The Battle of the Sexes (1914)"
"57",57,57,"The Beat that My Heart Skipped (2005) dir. Jacques Audiard",2005,"Fingers (1978) dir. James Toback",1978,27,"The Beat that My Heart Skipped (2005) dir. Jacques Audiard (2005)","The Beat that My Heart Skipped ","The Beat that My Heart Skipped (2005)","Fingers ","Fingers (1978)"
"58",58,58,"The Last Remake Of Beau Geste (1977) dir. Marty Feldman",1977,"Beau Geste (1926) dir. Herbert Brenon
Based on the book by P. C. Wren",1926,51,"The Last Remake Of Beau Geste (1977) dir. Marty Feldman (1977)","The Last Remake Of Beau Geste ","The Last Remake Of Beau Geste (1977)","Beau Geste ","Beau Geste (1926)"
"59",59,59,"Beau Geste (1966) dir. Douglas Heyes",1966,"Beau Geste (1926) dir. Herbert Brenon
Based on the book by P. C. Wren",1926,40,"Beau Geste (1966) dir. Douglas Heyes (1966)","Beau Geste ","Beau Geste (1966)","Beau Geste ","Beau Geste (1926)"
"60",60,60,"Beau Geste (1939) dir. William A. Wellman",1939,"Beau Geste (1926) dir. Herbert Brenon
Based on the book by P. C. Wren",1926,13,"Beau Geste (1939) dir. William A. Wellman (1939)","Beau Geste ","Beau Geste (1939)","Beau Geste ","Beau Geste (1926)"
"61",61,61,"Beauty and the Beast (2017) dir. Bill Condon",2017,"Beauty and the Beast (1991) dir. Gary Trousdale & Kirk Wise",1991,26,"Beauty and the Beast (2017) dir. Bill Condon (2017)","Beauty and the Beast ","Beauty and the Beast (2017)","Beauty and the Beast ","Beauty and the Beast (1991)"
"62",62,62,"Bedazzled (2000) dir. Harold Ramis",2000,"Bedazzled (1967) dir. Stanley Donen",1967,33,"Bedazzled (2000) dir. Harold Ramis (2000)","Bedazzled ","Bedazzled (2000)","Bedazzled ","Bedazzled (1967)"
"63",63,63,"The Beguiled (2017) dir. Sofia Coppola",2017,"The Beguiled (1971) dir. Don Siegel
Based on the novel A Painted Devil by Thomas P. Cullinan",1971,46,"The Beguiled (2017) dir. Sofia Coppola (2017)","The Beguiled ","The Beguiled (2017)","The Beguiled ","The Beguiled (1971)"
"64",64,64,"Being Julia (2004) dir. Istv��n Szab�_",2004,"Adorable Julia (1964) dir. Alfred Weidenmann",1964,40,"Being Julia (2004) dir. Istv��n Szab�_ (2004)","Being Julia ","Being Julia (2004)","Adorable Julia ","Adorable Julia (1964)"
"65",65,65,"Ben-Hur (1959) dir. William Wyler",1959,"Ben-Hur (1925) dir. Fred Niblo",1925,34,"Ben-Hur (1959) dir. William Wyler (1959)","Ben-Hur ","Ben-Hur (1959)","Ben-Hur ","Ben-Hur (1925)"
"66",66,66,"Ben-Hur (2016) dir. Timur Bekmambetov",2016,"Ben-Hur (1925) dir. Fred Niblo",1925,91,"Ben-Hur (2016) dir. Timur Bekmambetov (2016)","Ben-Hur ","Ben-Hur (2016)","Ben-Hur ","Ben-Hur (1925)"
"67",67,67,"Beongeoli Sam-ryong (1964) dir. Shin Sang-ok",1964,"Beongeoli Sam-ryong (1929) dir. Na Woon-gyu",1929,35,"Beongeoli Sam-ryong (1964) dir. Shin Sang-ok (1964)","Beongeoli Sam-ryong ","Beongeoli Sam-ryong (1964)","Beongeoli Sam-ryong ","Beongeoli Sam-ryong (1929)"
"68",68,68,"Between Two Worlds (1944) dir. Edward A. Blatt",1944,"Outward Bound (1930) dir. Robert Milton",1930,14,"Between Two Worlds (1944) dir. Edward A. Blatt (1944)","Between Two Worlds ","Between Two Worlds (1944)","Outward Bound ","Outward Bound (1930)"
"69",69,69,"Frutto acerbo (1934) dir. Carlo Ludovico Bragaglia",1934,"A Precocious Girl (1934) dir. Max Neufeld and Richard Eichberg",1934,0,"Frutto acerbo (1934) dir. Carlo Ludovico Bragaglia (1934)","Frutto acerbo ","Frutto acerbo (1934)","A Precocious Girl ","A Precocious Girl (1934)"
"70",70,70,"Between Us Girls (1942) dir. Henry Koster",1942,"A Precocious Girl (1934) dir. Max Neufeld and Richard Eichberg",1934,8,"Between Us Girls (1942) dir. Henry Koster (1942)","Between Us Girls ","Between Us Girls (1942)","A Precocious Girl ","A Precocious Girl (1934)"
"71",71,71,"Beyond a Reasonable Doubt (2009) dir. Peter Hyams",2009,"Beyond a Reasonable Doubt (1956) dir. Fritz Lang",1956,53,"Beyond a Reasonable Doubt (2009) dir. Peter Hyams (2009)","Beyond a Reasonable Doubt ","Beyond a Reasonable Doubt (2009)","Beyond a Reasonable Doubt ","Beyond a Reasonable Doubt (1956)"
"72",72,72,"Broken Lance (1954) dir. Edward Dmytryk",1954,"House of Strangers (1949) dir. Joseph L. Mankiewicz",1949,5,"Broken Lance (1954) dir. Edward Dmytryk (1954)","Broken Lance ","Broken Lance (1954)","House of Strangers ","House of Strangers (1949)"
"73",73,73,"The Big Show (1961) dir. James B. Clark",1961,"House of Strangers (1949) dir. Joseph L. Mankiewicz",1949,12,"The Big Show (1961) dir. James B. Clark (1961)","The Big Show ","The Big Show (1961)","House of Strangers ","House of Strangers (1949)"
"74",74,74,"The Big Stampede (1932) dir. Tenny Wright",1932,"Land Beyond the Law (1927) dir. Harry Joe Brown",1927,5,"The Big Stampede (1932) dir. Tenny Wright (1932)","The Big Stampede ","The Big Stampede (1932)","Land Beyond the Law ","Land Beyond the Law (1927)"
"75",75,75,"Mr. Smith Goes to Washington (1939) dir. Frank Capra",1939,"Washington Merry-Go-Round (1932) dir. James Cruze",1932,7,"Mr. Smith Goes to Washington (1939) dir. Frank Capra (1939)","Mr. Smith Goes to Washington ","Mr. Smith Goes to Washington (1939)","Washington Merry-Go-Round ","Washington Merry-Go-Round (1932)"
"76",76,76,"Billy Jack Goes to Washington (1977) dir. Tom Laughlin",1977,"Washington Merry-Go-Round (1932) dir. James Cruze",1932,45,"Billy Jack Goes to Washington (1977) dir. Tom Laughlin (1977)","Billy Jack Goes to Washington ","Billy Jack Goes to Washington (1977)","Washington Merry-Go-Round ","Washington Merry-Go-Round (1932)"
"77",77,77,"The Birdcage (1996) dir. Mike Nichols",1996,"La Cage aux Folles (1978) dir. ��douard Molinaro",1978,18,"The Birdcage (1996) dir. Mike Nichols (1996)","The Birdcage ","The Birdcage (1996)","La Cage aux Folles ","La Cage aux Folles (1978)"
"78",78,78,"Black Caesar (1973) dir. Larry Cohen",1973,"Little Caesar (1931) dir. Mervyn LeRoy",1931,42,"Black Caesar (1973) dir. Larry Cohen (1973)","Black Caesar ","Black Caesar (1973)","Little Caesar ","Little Caesar (1931)"
"79",79,79,"Black Christmas (2006) dir. Glen Morgan",2006,"Black Christmas (1974) dir. Bob Clark",1974,32,"Black Christmas (2006) dir. Glen Morgan (2006)","Black Christmas ","Black Christmas (2006)","Black Christmas ","Black Christmas (1974)"
"80",80,80,"Blame it on Rio (1984) dir. Stanley Donen",1984,"Un moment d'egarement (1977) dir. Claude Berri",1977,7,"Blame it on Rio (1984) dir. Stanley Donen (1984)","Blame it on Rio ","Blame it on Rio (1984)","Un moment d'egarement ","Un moment d'egarement (1977)"
"81",81,81,"The Blob (1988) dir. Chuck Russell",1988,"The Blob (1958) dir. Irvin S. Yeaworth Jr.",1958,30,"The Blob (1988) dir. Chuck Russell (1988)","The Blob ","The Blob (1988)","The Blob ","The Blob (1958)"
"82",82,82,"Blood Diner (1987) dir. Jackie Kong",1987,"Blood Feast (1963) dir. Herschell Gordon Lewis",1963,24,"Blood Diner (1987) dir. Jackie Kong (1987)","Blood Diner ","Blood Diner (1987)","Blood Feast ","Blood Feast (1963)"
"83",83,83,"The Blue Angel (1959) dir. Edward Dmytryk",1959,"The Blue Angel (1930) dir. Josef von Sternberg",1930,29,"The Blue Angel (1959) dir. Edward Dmytryk (1959)","The Blue Angel ","The Blue Angel (1959)","The Blue Angel ","The Blue Angel (1930)"
"84",84,84,"The Blue Bird (1940) dir. Walter Lang",1940,"The Blue Bird (1918) dir. Maurice Tourneur",1918,22,"The Blue Bird (1940) dir. Walter Lang (1940)","The Blue Bird ","The Blue Bird (1940)","The Blue Bird ","The Blue Bird (1918)"
"85",85,85,"The Blue Bird (1976) dir. George Cukor",1976,"The Blue Bird (1918) dir. Maurice Tourneur",1918,58,"The Blue Bird (1976) dir. George Cukor (1976)","The Blue Bird ","The Blue Bird (1976)","The Blue Bird ","The Blue Bird (1918)"
"86",86,86,"Bored of Education (1936) dir. Gordon Douglas",1936,"Teacher's Pet (1930) dir. Robert F. McGowan",1930,6,"Bored of Education (1936) dir. Gordon Douglas (1936)","Bored of Education ","Bored of Education (1936)","Teacher's Pet ","Teacher's Pet (1930)"
"87",87,87,"Born Yesterday (1993) dir. Luis Mandoki",1993,"Born Yesterday (1950) dir. George Cukor
Based on the play by Garson Kanin",1950,43,"Born Yesterday (1993) dir. Luis Mandoki (1993)","Born Yesterday ","Born Yesterday (1993)","Born Yesterday ","Born Yesterday (1950)"
"88",88,88,"Boudu (2005) dir. G̩rard Jugnot",2005,"Boudu Saved from Drowning (1932) dir. Jean Renoir",1932,73,"Boudu (2005) dir. G̩rard Jugnot (2005)","Boudu ","Boudu (2005)","Boudu Saved from Drowning ","Boudu Saved from Drowning (1932)"
"89",89,89,"The Boy Cried Murder (1966) dir. George P. Breakston",1966,"The Window (1949) dir. Ted Tetzlaff
Based on The Boy Cried Murder by Cornell Woolrich",1949,17,"The Boy Cried Murder (1966) dir. George P. Breakston (1966)","The Boy Cried Murder ","The Boy Cried Murder (1966)","The Window ","The Window (1949)"
"90",90,90,"Breathless (1983) dir. Jim McBride",1983,"Breathless (1960) dir. Jean-Luc Godard",1960,23,"Breathless (1983) dir. Jim McBride (1983)","Breathless ","Breathless (1983)","Breathless ","Breathless (1960)"
"91",91,91,"Three on a Spree (1961) Sidney J. Furie",1961,"Brewster's Millions (1945) dir. Allan Dwan",1945,16,"Three on a Spree (1961) Sidney J. Furie (1961)","Three on a Spree ","Three on a Spree (1961)","Brewster's Millions ","Brewster's Millions (1945)"
"92",92,92,"Brewster's Millions (1985) dir. Walter Hill",1985,"Brewster's Millions (1945) dir. Allan Dwan",1945,40,"Brewster's Millions (1985) dir. Walter Hill (1985)","Brewster's Millions ","Brewster's Millions (1985)","Brewster's Millions ","Brewster's Millions (1945)"
"93",93,93,"Bride Wars (2015) dir. Tony Chan",2015,"Bride Wars (2009) dir. Gary Winick",2009,6,"Bride Wars (2015) dir. Tony Chan (2015)","Bride Wars ","Bride Wars (2015)","Bride Wars ","Bride Wars (2009)"
"94",94,94,"Brian's Song (2001) dir. John Gray",2001,"Brian's Song (1971) dir. Buzz Kulik",1971,30,"Brian's Song (2001) dir. John Gray (2001)","Brian's Song ","Brian's Song (2001)","Brian's Song ","Brian's Song (1971)"
"95",95,95,"Brothers (2009) dir. Jim Sheridan",2009,"Br��dre (2004) dir. Susanne Bier",2004,5,"Brothers (2009) dir. Jim Sheridan (2009)","Brothers ","Brothers (2009)","Br��dre ","Br��dre (2004)"
"96",96,96,"A Bucket of Blood (1995) dir. Michael McDonald",1995,"A Bucket of Blood (1959) dir. Roger Corman",1959,36,"A Bucket of Blood (1995) dir. Michael McDonald (1995)","A Bucket of Blood ","A Bucket of Blood (1995)","A Bucket of Blood ","A Bucket of Blood (1959)"
"97",97,97,"Buddy Buddy (1981) dir. Billy Wilder",1981,"L'Emmerdeur (1973) dir. Edouard Molinaro",1973,8,"Buddy Buddy (1981) dir. Billy Wilder (1981)","Buddy Buddy ","Buddy Buddy (1981)","L'Emmerdeur ","L'Emmerdeur (1973)"
"98",98,98,"The Buccaneer (1958) dir. Anthony Quinn",1958,"The Buccaneer (1938) dir. Cecil B. DeMille",1938,20,"The Buccaneer (1958) dir. Anthony Quinn (1958)","The Buccaneer ","The Buccaneer (1958)","The Buccaneer ","The Buccaneer (1938)"
"99",99,99,"Bundle of Joy (1956) dir. Norman Taurog",1956,"Bachelor Mother (1939) dir. Garson Kanin",1939,17,"Bundle of Joy (1956) dir. Norman Taurog (1956)","Bundle of Joy ","Bundle of Joy (1956)","Bachelor Mother ","Bachelor Mother (1939)"
