Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
The Ten Commandments,1956,APPROVED,05 Oct 1956,220 min,"Adventure, Drama",Cecil B. DeMille,Won 1 Oscar. Another 6 wins & 8 nominations.,7.9,N/A,The Ten Commandments (1956)
The Experiment,2010,R,12 Aug 2010,96 min,"Drama, Thriller",Paul Scheuring,N/A,6.4,N/A,The Experiment (2010)
Fame,2009,PG,25 Sep 2009,107 min,"Comedy, Drama, Musical",Kevin Tancharoen,1 nomination.,5.0,"$22,429,956",Fame (2009)
Fatal Attraction,1987,R,18 Sep 1987,119 min,"Drama, Thriller",Adrian Lyne,Nominated for 6 Oscars. Another 7 wins & 16 nominations.,6.9,N/A,Fatal Attraction (1987)
Father of the Bride,1991,PG,20 Dec 1991,105 min,"Comedy, Family, Romance",Charles Shyer,1 win & 4 nominations.,6.5,N/A,Father of the Bride (1991)
Fathers' Day,1997,PG-13,09 May 1997,98 min,"Comedy, Romance",Ivan Reitman,1 nomination.,5.1,N/A,Fathers' Day (1997)
FC Venus,2006,N/A,27 Apr 2006,100 min,"Comedy, Romance, Sport",Ute Wieland,1 nomination.,5.9,N/A,FC Venus (2006)
The Fiend Who Walked the West,1958,N/A,01 Aug 1958,101 min,Western,Gordon Douglas,N/A,6.4,N/A,The Fiend Who Walked the West (1958)
The Firm,2009,N/A,18 Sep 2009,90 min,Drama,Nick Love,N/A,5.8,N/A,The Firm (2009)
Back from Eternity,1956,APPROVED,19 Feb 1957,100 min,Drama,John Farrow,N/A,6.5,N/A,Back from Eternity (1956)
Los que volvieron,1948,N/A,21 Jan 1948,78 min,"Adventure, Drama, Mystery",Alejandro Galindo,N/A,6.5,N/A,Los que volvieron (1948)
Flatliners,2017,PG-13,29 Sep 2017,110 min,"Drama, Horror, Sci-Fi",Niels Arden Oplev,N/A,5.0,"$16,877,430",Flatliners (2017)
Fled,1996,R,19 Jul 1996,98 min,"Action, Adventure, Crime",Kevin Hooks,N/A,5.3,N/A,Fled (1996)
Flight of the Phoenix,2004,PG-13,17 Dec 2004,113 min,"Action, Adventure, Drama",John Moore,2 nominations.,6.1,"$20,900,803",Flight of the Phoenix (2004)
Flipper,1996,PG,17 May 1996,95 min,"Family, Adventure",Alan Shapiro,4 nominations.,5.2,N/A,Flipper (1996)
Floating Weeds,1959,NOT RATED,24 Nov 1970,119 min,Drama,Yasujirô Ozu,N/A,8.0,N/A,Floating Weeds (1959)
Flubber,1997,PG,26 Nov 1997,93 min,"Comedy, Family, Sci-Fi",Les Mayfield,3 wins & 2 nominations.,5.2,N/A,Flubber (1997)
The Fly,1986,R,15 Aug 1986,96 min,"Drama, Horror, Sci-Fi",David Cronenberg,Won 1 Oscar. Another 5 wins & 11 nominations.,7.5,N/A,The Fly (1986)
The Fog,2005,PG-13,14 Oct 2005,100 min,Horror,Rupert Wainwright,2 wins.,3.6,"$29,511,112",The Fog (2005)
Footloose,2011,PG-13,14 Oct 2011,113 min,"Comedy, Drama, Music",Craig Brewer,3 nominations.,5.9,"$51,780,537",Footloose (2011)
Forbidden Fruit,1921,N/A,23 Jan 1921,87 min,Drama,Cecil B. DeMille,N/A,7.0,N/A,Forbidden Fruit (1921)
Four Sons,1940,APPROVED,14 Jun 1940,89 min,"Drama, History, War",Archie Mayo,N/A,6.3,N/A,Four Sons (1940)
Freaky Friday,1995,N/A,06 May 1995,86 min,"Comedy, Family, Fantasy",Melanie Mayron,N/A,6.0,N/A,Freaky Friday (1995)
Freaky Friday,2003,PG,06 Aug 2003,97 min,"Comedy, Family, Fantasy",Mark Waters,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,6.2,"$110,180,505",Freaky Friday (2003)
Free State of Jones,2016,R,24 Jun 2016,139 min,"Action, Biography, Drama",Gary Ross,3 wins & 4 nominations.,6.9,N/A,Free State of Jones (2016)
Friday the 13th,2009,R,13 Feb 2009,97 min,Horror,Marcus Nispel,2 wins & 4 nominations.,5.6,"$64,959,486",Friday the 13th (2009)
Fright Night,2011,R,19 Aug 2011,106 min,"Comedy, Horror",Craig Gillespie,2 wins & 8 nominations.,6.4,"$18,298,649",Fright Night (2011)
The Front Page,1974,PG,18 Dec 1974,105 min,"Comedy, Drama, Romance",Billy Wilder,Nominated for 3 Golden Globes. Another 2 wins & 1 nomination.,7.4,N/A,The Front Page (1974)
Fun with Dick and Jane,2005,PG-13,21 Dec 2005,90 min,"Comedy, Crime",Dean Parisot,7 nominations.,6.1,"$110,332,737",Fun with Dick and Jane (2005)
Waterloo Bridge,1940,PASSED,17 May 1940,108 min,"Drama, Romance, War",Mervyn LeRoy,Nominated for 2 Oscars. Another 1 win.,7.8,N/A,Waterloo Bridge (1940)
Gaby,1956,N/A,17 Oct 1956,96 min,Drama,Curtis Bernhardt,N/A,6.0,N/A,Gaby (1956)
Gambit,2012,PG-13,21 Nov 2012,89 min,"Comedy, Crime",Michael Hoffman,N/A,5.7,"$689,042",Gambit (2012)
The Gambler,2014,R,25 Dec 2014,111 min,"Crime, Drama, Thriller",Rupert Wyatt,1 win & 3 nominations.,6.0,"$18,884,667",The Gambler (2014)
Gaslight,1944,PASSED,30 Oct 1944,114 min,"Crime, Drama, Film-Noir",George Cukor,Won 2 Oscars. Another 3 wins & 7 nominations.,7.9,N/A,Gaslight (1944)
Get Carter,2000,R,06 Oct 2000,102 min,"Action, Crime, Drama",Stephen Kay,5 nominations.,5.1,"$14,551,088",Get Carter (2000)
The Girl Downstairs,1938,N/A,23 Dec 1938,77 min,"Comedy, Romance",Norman Taurog,N/A,6.2,N/A,The Girl Downstairs (1938)
Gharshana,2004,N/A,30 Jul 2004,159 min,"Action, Crime, Drama",Gautham Menon,N/A,7.3,N/A,Gharshana (2004)
Ghostbusters,2016,PG-13,15 Jul 2016,116 min,"Action, Comedy, Fantasy",Paul Feig,5 wins & 24 nominations.,5.3,"$128,344,089",Ghostbusters (2016)
Ghost Theater,2015,N/A,21 Nov 2015,99 min,Horror,Hideo Nakata,N/A,4.9,N/A,Ghost Theater (2015)
Gloria,1999,R,22 Jan 1999,108 min,"Crime, Drama, Thriller",Sidney Lumet,6 nominations.,5.1,N/A,Gloria (1999)
Godzilla,1998,PG-13,20 May 1998,139 min,"Action, Sci-Fi, Thriller",Roland Emmerich,10 wins & 12 nominations.,5.3,N/A,Godzilla (1998)
Godzilla,2014,PG-13,16 May 2014,123 min,"Action, Adventure, Sci-Fi",Gareth Edwards,6 wins & 31 nominations.,6.4,"$172,962,996",Godzilla (2014)
Going in Style,2017,PG-13,07 Apr 2017,96 min,"Comedy, Crime",Zach Braff,N/A,6.6,N/A,Going in Style (2017)
Gone in 60 Seconds: The Ride,2000,N/A,N/A,N/A,Action,N/A,1 nomination.,7.1,N/A,Gone in 60 Seconds: The Ride (2000)
The Goodbye Girl,2004,NOT RATED,16 Jan 2004,103 min,Comedy,Richard Benjamin,1 nomination.,6.1,N/A,The Goodbye Girl (2004)
The Good Companions,1957,N/A,01 May 1958,104 min,"Comedy, Musical, Romance",J. Lee Thompson,N/A,6.3,N/A,The Good Companions (1957)
Good Morning,1959,NOT RATED,01 Feb 1962,94 min,"Comedy, Drama",Yasujirô Ozu,N/A,7.9,N/A,Good Morning (1959)
The Good Thief,2002,R,25 Apr 2003,109 min,"Action, Crime, Drama",Neil Jordan,1 win & 1 nomination.,6.6,"$3,416,785",The Good Thief (2002)
Gordon of Ghost City,1933,APPROVED,14 Aug 1933,220 min,"Action, Mystery, Western",Ray Taylor,N/A,6.6,N/A,Gordon of Ghost City (1933)
The Great Train Robbery,1904,N/A,26 Jun 1904,N/A,"Short, Western",Siegmund Lubin,N/A,7.1,N/A,The Great Train Robbery (1904)
The Grudge,2004,PG-13,22 Oct 2004,91 min,"Horror, Mystery, Thriller",Takashi Shimizu,2 wins & 10 nominations.,5.9,"$110,175,871",The Grudge (2004)
Guess Who,2005,PG-13,25 Mar 2005,105 min,"Comedy, Romance",Kevin Rodney Sullivan,16 nominations.,5.9,"$67,962,333",Guess Who (2005)
Halloween,2007,R,31 Aug 2007,109 min,Horror,Rob Zombie,2 wins & 2 nominations.,6.1,"$58,192,545.00",Halloween (2007)
The Hand,1981,R,24 Apr 1981,104 min,"Drama, Horror, Thriller",Oliver Stone,2 nominations.,5.4,N/A,The Hand (1981)
Happy New Year,1987,PG,07 Aug 1987,85 min,"Comedy, Crime, Romance",John G. Avildsen,N/A,6.0,N/A,Happy New Year (1987)
Hara-Kiri: Death of a Samurai,2011,NOT RATED,20 Jul 2012,128 min,Drama,Takashi Miike,5 nominations.,7.3,"$60,201",Hara-Kiri: Death of a Samurai (2011)
The Hasty Heart,1983,N/A,N/A,100 min,Drama,Martin M. Speer,N/A,8.8,N/A,The Hasty Heart (1983)
Haunted Gold,1932,PASSED,17 Dec 1932,58 min,"Horror, Mystery, Western",Mack V. Wright,N/A,5.5,N/A,Haunted Gold (1932)
The Haunting,1999,PG-13,23 Jul 1999,113 min,"Fantasy, Horror, Mystery",Jan de Bont,3 wins & 14 nominations.,4.9,N/A,The Haunting (1999)
Head Above Water,1996,PG-13,25 Jun 1997,92 min,"Comedy, Thriller",Jim Wilson,1 win & 1 nomination.,6.0,N/A,Head Above Water (1996)
The Heartbreak Kid,2007,R,05 Oct 2007,116 min,"Comedy, Romance","Bobby Farrelly, Peter Farrelly",1 win.,5.8,"$36,771,343",The Heartbreak Kid (2007)
Heat,1995,R,15 Dec 1995,170 min,"Action, Crime, Drama",Michael Mann,12 nominations.,8.2,N/A,Heat (1995)
"Her Majesty, Love",1931,N/A,15 Dec 1931,75 min,"Comedy, Musical, Romance",William Dieterle,N/A,6.2,N/A,"Her Majesty, Love (1931)"
Outland,1981,R,22 May 1981,112 min,"Action, Crime, Sci-Fi",Peter Hyams,Nominated for 1 Oscar. Another 1 win & 6 nominations.,6.6,N/A,Outland (1981)
High Noon,2000,PG-13,20 Aug 2000,88 min,"Drama, Western",Rod Hardy,2 nominations.,5.6,N/A,High Noon (2000)
High Society,1956,APPROVED,17 Jul 1956,111 min,"Comedy, Musical, Romance",Charles Walters,Nominated for 2 Oscars. Another 1 nomination.,7.0,N/A,High Society (1956)
The Hills Have Eyes,2006,R,10 Mar 2006,107 min,Horror,Alexandre Aja,2 wins & 7 nominations.,6.4,"$41,685,824",The Hills Have Eyes (2006)
The Hitcher,2007,R,19 Jan 2007,84 min,"Horror, Thriller",Dave Meyers,2 wins & 2 nominations.,5.6,"$16,399,999",The Hitcher (2007)
Holiday,1938,APPROVED,15 Jun 1938,95 min,"Comedy, Romance",George Cukor,Nominated for 1 Oscar. Another 1 win.,7.9,N/A,Holiday (1938)
Homeward Bound: The Incredible Journey,1993,G,12 Feb 1993,84 min,"Adventure, Comedy, Drama",Duwayne Dunham,N/A,6.9,N/A,Homeward Bound: The Incredible Journey (1993)
Hoodman Blind,1923,N/A,20 Dec 1923,60 min,Drama,John Ford,N/A,3.4,N/A,Hoodman Blind (1923)
House on Haunted Hill,1999,R,29 Oct 1999,93 min,"Horror, Mystery, Thriller",William Malone,1 win & 3 nominations.,5.6,N/A,House on Haunted Hill (1999)
House of Wax,1953,APPROVED,25 Apr 1953,88 min,Horror,André De Toth,1 win & 1 nomination.,7.1,N/A,House of Wax (1953)
House of Wax,2005,R,06 May 2005,108 min,Horror,Jaume Collet-Serra,5 wins & 11 nominations.,5.3,"$32,000,000",House of Wax (2005)
How to Make a Monster,2001,R,14 Oct 2001,91 min,"Horror, Sci-Fi, Thriller",George Huang,1 nomination.,4.4,N/A,How to Make a Monster (2001)
Huckleberry Finn,1974,G,24 May 1974,118 min,"Adventure, Musical",J. Lee Thompson,N/A,5.4,N/A,Huckleberry Finn (1974)
Hurricane,1979,PG,12 Apr 1979,120 min,"Adventure, Drama",Jan Troell,N/A,4.5,N/A,Hurricane (1979)
The Omega Man,1971,GP,01 Aug 1971,98 min,"Action, Sci-Fi, Thriller",Boris Sagal,1 nomination.,6.6,N/A,The Omega Man (1971)
I Am Omega,2007,NOT RATED,18 Nov 2007,91 min,"Action, Horror, Sci-Fi",Griff Furst,N/A,3.3,N/A,I Am Omega (2007)
I Died a Thousand Times,1955,NOT RATED,09 Nov 1955,109 min,"Crime, Drama, Film-Noir",Stuart Heisler,N/A,6.4,N/A,I Died a Thousand Times (1955)
I Married a Monster,1998,PG-13,08 Oct 1998,90 min,"Horror, Sci-Fi",Nancy Malone,N/A,4.3,N/A,I Married a Monster (1998)
I Saw What You Did,1988,NOT RATED,20 May 1988,93 min,"Drama, Horror, Thriller",Fred Walton,N/A,5.8,N/A,I Saw What You Did (1988)
I Spit on Your Grave,2010,R,20 Jan 2011,108 min,"Crime, Horror, Thriller",Steven R. Monroe,2 nominations.,6.3,"$92,401",I Spit on Your Grave (2010)
I Want to Live,1983,N/A,09 May 1983,100 min,"Biography, Drama",David Lowell Rich,N/A,6.9,N/A,I Want to Live (1983)
Ice Castles,2010,PG,09 Feb 2010,95 min,"Drama, Romance, Sport",Donald Wrye,N/A,6.4,N/A,Ice Castles (2010)
Ihr erstes Rendezvous,1955,N/A,25 Aug 1955,100 min,Romance,Axel von Ambesser,N/A,N/A,N/A,Ihr erstes Rendezvous (1955)
In the Good Old Summertime,1949,APPROVED,29 Jul 1949,102 min,"Comedy, Musical, Romance",Robert Z. Leonard,1 nomination.,7.2,N/A,In the Good Old Summertime (1949)
Indiscretion of an American Wife,1998,N/A,09 Mar 1998,105 min,Drama,George Kaczender,N/A,6.3,N/A,Indiscretion of an American Wife (1998)
The Initiation of Sarah,2006,NOT RATED,22 Oct 2006,90 min,"Horror, Thriller",Stuart Gillard,1 nomination.,5.4,N/A,The Initiation of Sarah (2006)
The In-Laws,2003,PG-13,23 May 2003,98 min,"Action, Comedy, Thriller",Andrew Fleming,N/A,5.7,"$20,384,203",The In-Laws (2003)
Insomnia,2002,R,24 May 2002,118 min,"Drama, Mystery, Thriller",Christopher Nolan,1 win & 10 nominations.,7.2,"$67,300,000",Insomnia (2002)
Intersection,1994,R,21 Jan 1994,98 min,"Drama, Romance",Mark Rydell,2 wins.,5.3,N/A,Intersection (1994)
Intermezzo: A Love Story,1939,APPROVED,28 Feb 1940,70 min,"Romance, Drama",Gregory Ratoff,N/A,6.8,N/A,Intermezzo: A Love Story (1939)
Interview,2007,R,10 May 2007,84 min,Drama,Steve Buscemi,1 win & 3 nominations.,6.8,"$252,499",Interview (2007)
Invaders from Mars,1986,PG,06 Jun 1986,100 min,"Horror, Sci-Fi",Tobe Hooper,2 nominations.,5.5,N/A,Invaders from Mars (1986)
Invasion of the Body Snatchers,1978,PG,22 Dec 1978,115 min,"Horror, Sci-Fi",Philip Kaufman,3 wins & 9 nominations.,7.4,N/A,Invasion of the Body Snatchers (1978)
Body Snatchers,1993,R,28 Jan 1994,87 min,"Horror, Sci-Fi",Abel Ferrara,2 nominations.,5.9,N/A,Body Snatchers (1993)
The Invasion,2007,PG-13,17 Aug 2007,99 min,"Sci-Fi, Thriller","Oliver Hirschbiegel, James McTeigue",1 win & 2 nominations.,5.9,"$15,100,000",The Invasion (2007)
Irma la Douce,1972,N/A,17 Feb 1972,N/A,"Comedy, Romance",Paul Paviot,N/A,8.2,N/A,Irma la Douce (1972)
Iron Maze,1991,R,01 Nov 1991,104 min,"Drama, Thriller",Hiroaki Yoshida,1 win & 2 nominations.,4.5,N/A,Iron Maze (1991)
The Italian Job,2003,PG-13,30 May 2003,111 min,"Action, Crime, Thriller",F. Gary Gray,8 wins & 7 nominations.,7.0,"$105,996,316",The Italian Job (2003)
It!,1967,UNRATED,15 Nov 1967,96 min,"Horror, Sci-Fi",Herbert J. Leder,N/A,5.6,N/A,It! (1967)
It's Great to Be Alive,1933,N/A,08 Jul 1933,69 min,"Comedy, Musical, Sci-Fi",Alfred L. Werker,N/A,4.8,N/A,It's Great to Be Alive (1933)
The Jackal,1997,R,14 Nov 1997,124 min,"Action, Crime, Drama",Michael Caton-Jones,1 win & 4 nominations.,6.4,N/A,The Jackal (1997)
Jakob the Liar,1999,PG-13,24 Sep 1999,120 min,"Drama, War",Peter Kassovitz,2 wins & 3 nominations.,6.5,N/A,Jakob the Liar (1999)
The Jazz Singer,1952,N/A,14 Feb 1953,107 min,"Drama, Music, Romance",Michael Curtiz,N/A,5.8,N/A,The Jazz Singer (1952)
The Jazz Singer,1980,PG,19 Dec 1980,115 min,"Drama, Music, Romance",Richard Fleischer,Nominated for 3 Golden Globes. Another 3 wins & 7 nominations.,5.8,N/A,The Jazz Singer (1980)
Jigoku,1999,N/A,N/A,102 min,Horror,Teruo Ishii,N/A,4.4,N/A,Jigoku (1999)
Journey Into Fear,1975,R,08 Aug 1975,100 min,Thriller,Daniel Mann,N/A,5.5,N/A,Journey Into Fear (1975)
The Jungle Book,2016,PG,15 Apr 2016,106 min,"Adventure, Drama, Family",Jon Favreau,Won 1 Oscar. Another 31 wins & 52 nominations.,7.5,"$363,995,937",The Jungle Book (2016)
The Jungle Book: Mowgli's Story,1998,G,28 Sep 1998,77 min,"Adventure, Family",Nick Marck,N/A,4.3,N/A,The Jungle Book: Mowgli's Story (1998)
The Making of Rudyard Kipling's 'The Jungle Book',1994,N/A,N/A,27 min,Documentary,Dan Boothe,N/A,N/A,N/A,The Making of Rudyard Kipling's 'The Jungle Book' (1994)
Jungle 2 Jungle,1997,PG,07 Mar 1997,105 min,"Comedy, Family",John Pasquin,3 nominations.,5.1,N/A,Jungle 2 Jungle (1997)
Juno and the Paycock,1980,N/A,N/A,N/A,Drama,Roger Cheveley,N/A,N/A,N/A,Juno and the Paycock (1980)
Just Visiting,2001,PG-13,06 Apr 2001,88 min,"Comedy, Fantasy, Sci-Fi",Jean-Marie Poiré,N/A,5.8,N/A,Just Visiting (2001)
Nihon chinbotsu,2006,PG-13,15 Jul 2006,135 min,"Adventure, Drama, Sci-Fi",Shinji Higuchi,1 nomination.,5.7,N/A,Nihon chinbotsu (2006)
The Karate Kid,2010,PG,11 Jun 2010,140 min,"Action, Drama, Family",Harald Zwart,5 wins & 12 nominations.,6.2,"$176,591,618",The Karate Kid (2010)
The Kid from Brooklyn,1946,PASSED,21 Mar 1946,113 min,"Comedy, Musical",Norman Z. McLeod,N/A,6.8,N/A,The Kid from Brooklyn (1946)
King Kong,1976,PG,17 Dec 1976,134 min,"Adventure, Horror",John Guillermin,Nominated for 2 Oscars. Another 5 wins & 1 nomination.,5.8,N/A,King Kong (1976)
King Kong,2005,PG-13,14 Dec 2005,187 min,"Action, Adventure, Drama",Peter Jackson,Won 3 Oscars. Another 43 wins & 100 nominations.,7.2,"$218,100,000",King Kong (2005)
King Solomon's Mines,2004,N/A,N/A,173 min,"Action, Adventure, Fantasy",N/A,N/A,6.0,NA,King Solomon's Mines (2004)
King Solomon's Mines,1985,PG-13,22 Nov 1985,100 min,"Action, Adventure, Comedy",J. Lee Thompson,2 nominations.,5.1,N/A,King Solomon's Mines (1985)
King Solomon's Mines,1950,PASSED,24 Nov 1950,103 min,"Adventure, Romance, Action","Compton Bennett, Andrew Marton",Won 2 Oscars. Another 1 win & 2 nominations.,6.9,N/A,King Solomon's Mines (1950)
A Connecticut Yankee,1931,UNRATED,06 Apr 1931,95 min,"Comedy, Fantasy, Romance",David Butler,N/A,6.7,N/A,A Connecticut Yankee (1931)
A Connecticut Yankee in King Arthur's Court,1949,NOT RATED,22 Apr 1949,106 min,"Comedy, Family, Fantasy",Tay Garnett,N/A,6.7,N/A,A Connecticut Yankee in King Arthur's Court (1949)
A Kid in King Arthur's Court,1995,PG,11 Aug 1995,89 min,"Adventure, Comedy, Family",Michael Gottlieb,1 nomination.,4.8,N/A,A Kid in King Arthur's Court (1995)
A Kiss Before Dying,1991,R,26 Apr 1991,94 min,"Crime, Mystery, Thriller",James Dearden,2 wins.,5.7,N/A,A Kiss Before Dying (1991)
Kiss Me Goodbye,1982,PG,22 Dec 1982,101 min,"Comedy, Fantasy, Romance",Robert Mulligan,N/A,6.1,N/A,Kiss Me Goodbye (1982)
Kiss of Death,1995,R,21 Apr 1995,101 min,"Action, Crime, Thriller",Barbet Schroeder,1 nomination.,5.9,N/A,Kiss of Death (1995)
Knock Knock,2015,R,09 Oct 2015,99 min,"Drama, Horror, Thriller",Eli Roth,N/A,4.9,"$285,363",Knock Knock (2015)
The Ladykillers,2004,R,26 Mar 2004,104 min,"Comedy, Crime, Thriller","Ethan Coen, Joel Coen",5 wins & 4 nominations.,6.2,N/A,The Ladykillers (2004)
The Lady Vanishes,1979,PG,01 Mar 1980,95 min,"Action, Comedy, Mystery",Anthony Page,N/A,5.9,N/A,The Lady Vanishes (1979)
The Land That Time Forgot,2009,NOT RATED,28 Jul 2009,88 min,"Action, Fantasy, Sci-Fi",C. Thomas Howell,N/A,3.2,N/A,The Land That Time Forgot (2009)
The Lake House,2006,PG,16 Jun 2006,99 min,"Drama, Fantasy, Romance",Alejandro Agresti,2 wins & 2 nominations.,6.8,"$52,300,000",The Lake House (2006)
Last Holiday,2006,PG-13,13 Jan 2006,112 min,Comedy,Wayne Wang,7 nominations.,6.4,"$38,360,195",Last Holiday (2006)
The Last House on the Left,1972,UNRATED,30 Aug 1972,84 min,"Horror, Thriller",Wes Craven,N/A,6.0,N/A,The Last House on the Left (1972)
The Last House on the Left,2009,R,13 Mar 2009,110 min,"Crime, Horror, Thriller",Dennis Iliadis,1 win & 8 nominations.,6.6,"$32,721,635",The Last House on the Left (2009)
The Last Kiss,2006,R,15 Sep 2006,104 min,"Comedy, Drama, Romance",Tony Goldwyn,1 win & 4 nominations.,6.5,"$11,502,628",The Last Kiss (2006)
Last Man Standing,1996,R,20 Sep 1996,101 min,"Action, Crime, Drama",Walter Hill,N/A,6.4,N/A,Last Man Standing (1996)
The Last of Mrs. Cheyney,1937,PASSED,19 Feb 1937,98 min,"Comedy, Drama","Richard Boleslawski, Dorothy Arzner, George Fitzmaurice",N/A,6.2,N/A,The Last of Mrs. Cheyney (1937)
Let Me In,2010,R,01 Oct 2010,116 min,"Drama, Horror, Mystery",Matt Reeves,14 wins & 28 nominations.,7.2,"$12,134,420",Let Me In (2010)
Easy to Wed,1946,PASSED,25 Jul 1946,106 min,"Comedy, Romance","Edward Buzzell, Buster Keaton, Edward Sedgwick",N/A,6.3,N/A,Easy to Wed (1946)
Lifepod,1993,N/A,28 Jun 1993,89 min,"Mystery, Sci-Fi, Thriller",Ron Silver,N/A,5.9,N/A,Lifepod (1993)
The Little Foxes,1956,N/A,16 Dec 1956,90 min,N/A,George Schaefer,N/A,8.0,N/A,The Little Foxes (1956)
Little Fugitive,2006,N/A,27 May 2006,89 min,Drama,Joanna Lipper,1 win.,6.0,N/A,Little Fugitive (2006)
Sorrowful Jones,1949,N/A,04 Jul 1949,88 min,"Comedy, Drama",Sidney Lanfield,N/A,7.0,N/A,Sorrowful Jones (1949)
Little Miss Marker,1980,PG,21 Mar 1980,103 min,"Comedy, Drama, Romance",Walter Bernstein,1 nomination.,6.3,N/A,Little Miss Marker (1980)
Little Shop of Horrors,1986,PG-13,19 Dec 1986,94 min,"Comedy, Family, Musical",Frank Oz,Nominated for 2 Oscars. Another 2 wins & 12 nominations.,6.9,N/A,Little Shop of Horrors (1986)
The Lodger,2009,R,14 Jan 2009,95 min,"Crime, Drama, Horror",David Ondaatje,1 nomination.,5.8,N/A,The Lodger (2009)
Man in the Attic,1953,UNRATED,23 Dec 1953,82 min,"Film-Noir, Mystery, Thriller",Hugo Fregonese,N/A,6.2,N/A,Man in the Attic (1953)
The Lodger,1944,APPROVED,19 Jan 1944,84 min,"Crime, Horror, Mystery",John Brahm,N/A,7.2,N/A,The Lodger (1944)
Loft,2010,N/A,16 Dec 2010,108 min,"Crime, Drama, Thriller",Antoinette Beumer,3 wins & 4 nominations.,6.9,N/A,Loft (2010)
The Loft,2014,R,30 Jan 2015,108 min,"Mystery, Romance, Thriller",Erik Van Looy,1 nomination.,6.3,"$4,409,157",The Loft (2014)
LOL,2012,PG-13,01 Mar 2012,97 min,"Comedy, Drama, Romance",Lisa Azuelos,1 nomination.,4.3,N/A,LOL (2012)
Mean Machine,2001,R,26 Dec 2001,99 min,"Comedy, Crime, Drama",Barry Skolnick,N/A,6.5,N/A,Mean Machine (2001)
The Longest Yard,2005,PG-13,27 May 2005,113 min,"Comedy, Crime, Sport",Peter Segal,2 wins & 17 nominations.,6.4,"$157,900,000",The Longest Yard (2005)
Long Fliv the King,1926,PASSED,13 Jun 1926,22 min,"Short, Comedy",Leo McCarey,N/A,6.7,N/A,Long Fliv the King (1926)
The Long Hot Summer,1985,N/A,06 Oct 1985,200 min,"Drama, Romance",Stuart Cooper,Nominated for 2 Primetime Emmys. Another 1 nomination.,7.2,N/A,The Long Hot Summer (1985)
The Long Night,1947,APPROVED,28 May 1947,101 min,"Crime, Drama, Film-Noir",Anatole Litvak,N/A,6.7,N/A,The Long Night (1947)
Lost Horizon,1973,G,17 Mar 1973,150 min,"Fantasy, Musical, Adventure",Charles Jarrott,N/A,5.2,N/A,Lost Horizon (1973)
The Lost Patrol,1934,PASSED,16 Feb 1934,73 min,"Adventure, War",John Ford,Nominated for 1 Oscar. Another 1 win.,7.0,N/A,The Lost Patrol (1934)
Love Affair,1994,PG-13,21 Oct 1994,108 min,"Comedy, Drama, Romance",Glenn Gordon Caron,2 nominations.,5.9,N/A,Love Affair (1994)
Love Don't Cost a Thing,2003,PG-13,12 Dec 2003,100 min,"Comedy, Romance, Drama",Troy Byer,6 nominations.,5.1,"$21,718,038",Love Don't Cost a Thing (2003)
Lure of the Wilderness,1952,APPROVED,13 Oct 1952,93 min,"Adventure, Drama, Romance",Jean Negulesco,N/A,6.8,N/A,Lure of the Wilderness (1952)
M,1951,N/A,01 Mar 1951,88 min,"Drama, Film-Noir, Thriller",Joseph Losey,N/A,6.9,N/A,M (1951)
The Magnificent Ambersons,1942,APPROVED,10 Jul 1942,88 min,"Drama, Romance","Orson Welles, Fred Fleck, Robert Wise",Nominated for 4 Oscars. Another 4 wins.,7.9,N/A,The Magnificent Ambersons (1942)
The Magnificent Ambersons,2002,N/A,13 Jan 2002,150 min,Drama,Alfonso Arau,N/A,6.0,N/A,The Magnificent Ambersons (2002)
The Magnificent Seven,1960,NOT RATED,23 Nov 1960,128 min,"Action, Adventure, Western",John Sturges,Nominated for 1 Oscar. Another 1 win & 5 nominations.,7.8,N/A,The Magnificent Seven (1960)
Main Aisa Hi Hoon,2005,N/A,06 May 2005,162 min,"Musical, Drama",Harry Baweja,N/A,4.7,N/A,Main Aisa Hi Hoon (2005)
Major Payne,1995,PG-13,24 Mar 1995,95 min,"Adventure, Comedy, Family",Nick Castle,N/A,6.2,N/A,Major Payne (1995)
Satan Met a Lady,1936,APPROVED,22 Jul 1936,74 min,"Drama, Film-Noir, Mystery",William Dieterle,N/A,6.2,N/A,Satan Met a Lady (1936)
The Maltese Falcon,1941,NOT RATED,18 Oct 1941,100 min,"Film-Noir, Mystery",John Huston,Nominated for 3 Oscars. Another 4 wins.,8.1,N/A,The Maltese Falcon (1941)
The Man They Could Not Hang,1939,UNRATED,17 Aug 1939,64 min,"Crime, Horror, Sci-Fi",Nick Grinde,N/A,6.8,N/A,The Man They Could Not Hang (1939)
The Man with One Red Shoe,1985,PG,19 Jul 1985,92 min,"Comedy, Thriller",Stan Dragoti,N/A,5.7,N/A,The Man with One Red Shoe (1985)
The Man Without a Country,1937,APPROVED,27 Nov 1937,21 min,"Drama, Short",Crane Wilbur,N/A,5.8,N/A,The Man Without a Country (1937)
The Man Who Knew Too Much,1956,APPROVED,01 Jun 1956,120 min,"Drama, Thriller",Alfred Hitchcock,Won 1 Oscar. Another 1 win & 4 nominations.,7.5,N/A,The Man Who Knew Too Much (1956)
