Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
Around the World in 80 Days,2004,PG,16 Jun 2004,120 min,"Action, Adventure, Comedy",Frank Coraci,2 wins & 2 nominations.,5.8,N/A,Around the World in 80 Days (2004)
The Arena,2001,R,28 Aug 2001,92 min,"Adventure, Drama, Action",Timur Bekmambetov,1 nomination.,2.7,N/A,The Arena (2001)
Arthur,2011,PG-13,08 Apr 2011,110 min,"Comedy, Romance",Jason Winer,3 wins & 6 nominations.,5.7,"$29,200,000",Arthur (2011)
Assault on Precinct 13,2005,R,19 Jan 2005,109 min,"Action, Crime, Drama",Jean-François Richet,1 win & 2 nominations.,6.3,"$19,976,073",Assault on Precinct 13 (2005)
Attack of the 50 Ft. Woman,1993,R,11 Dec 1993,90 min,"Comedy, Sci-Fi",Christopher Guest,1 nomination.,3.8,N/A,Attack of the 50 Ft. Woman (1993)
The Bachelor,1999,PG-13,05 Nov 1999,101 min,Comedy,Gary Sinyor,1 win & 2 nominations.,5.0,N/A,The Bachelor (1999)
Bachelor Mother,1939,APPROVED,04 Aug 1939,82 min,"Comedy, Romance",Garson Kanin,N/A,7.7,N/A,Bachelor Mother (1939)
Back Street,1941,APPROVED,07 Feb 1941,89 min,Drama,Robert Stevenson,N/A,7.0,N/A,Back Street (1941)
Back Street,1961,N/A,12 Oct 1961,107 min,Drama,David Miller,N/A,6.7,N/A,Back Street (1961)
Bad News Bears,2005,PG-13,22 Jul 2005,113 min,"Comedy, Sport",Richard Linklater,1 win & 4 nominations.,5.8,N/A,Bad News Bears (2005)
The Ballad of Narayama,1983,NOT RATED,29 Apr 1983,130 min,Drama,Shôhei Imamura,9 wins & 8 nominations.,7.9,N/A,The Ballad of Narayama (1983)
The Bad Seed,1985,UNRATED,07 Feb 1985,100 min,"Drama, Horror, Mystery",Paul Wendkos,Nominated for 1 Primetime Emmy. Another 1 nomination.,5.6,N/A,The Bad Seed (1985)
Bangkok Dangerous,2008,R,05 Sep 2008,99 min,"Action, Crime, Thriller","Danny Pang, Oxide Chun Pang",1 nomination.,5.4,"$15,195,406",Bangkok Dangerous (2008)
A Night in Casablanca,1946,PASSED,12 Oct 1946,85 min,Comedy,Archie Mayo,N/A,7.1,N/A,A Night in Casablanca (1946)
Barb Wire,1996,R,03 May 1996,98 min,"Action, Sci-Fi",David Hogan,1 win & 7 nominations.,3.2,N/A,Barb Wire (1996)
The Magnificent Seven,1960,NOT RATED,23 Nov 1960,128 min,"Action, Adventure, Western",John Sturges,Nominated for 1 Oscar. Another 1 win & 5 nominations.,7.8,N/A,The Magnificent Seven (1960)
Battle Beyond the Stars,1980,PG,13 Nov 1980,104 min,"Action, Adventure, Sci-Fi","Jimmy T. Murakami, Roger Corman",1 win & 4 nominations.,5.5,N/A,Battle Beyond the Stars (1980)
The Magnificent Seven,2016,PG-13,23 Sep 2016,132 min,"Action, Adventure, Western",Antoine Fuqua,3 wins & 12 nominations.,6.9,"$93,381,044",The Magnificent Seven (2016)
The Battle of the Sexes,1928,PASSED,N/A,88 min,Comedy,D.W. Griffith,N/A,6.7,N/A,The Battle of the Sexes (1928)
The Beat That My Heart Skipped,2005,UNRATED,16 Mar 2005,108 min,"Crime, Drama, Music",Jacques Audiard,Won 1 BAFTA Film Award. Another 20 wins & 13 nominations.,7.3,"$799,497",The Beat That My Heart Skipped (2005)
The Last Remake of Beau Geste,1977,PG,16 Dec 1977,85 min,"Adventure, Comedy, War",Marty Feldman,N/A,6.1,N/A,The Last Remake of Beau Geste (1977)
Beau Geste,1966,N/A,07 Sep 1966,103 min,"Drama, War, Action",Douglas Heyes,N/A,6.1,N/A,Beau Geste (1966)
