remakes_title,remakes_year,originals_title,originals_year,remakes_yearsBetween,key,remakes_shortTitle,remakes_key,originals_shortTitle,originals_key
Another Fine Mess (1930) dir. James Parrott,1930,Duck Soup (1927) dir. Fred Guiol,1927,3,Another Fine Mess (1930) dir. James Parrott (1930),Another Fine Mess ,Another Fine Mess (1930),Duck Soup ,Duck Soup (1927)
Another Part of the Forest (1972) dir. Daniel Mann,1972,Another Part of the Forest (1948) dir. Michael Gordon,1948,24,Another Part of the Forest (1972) dir. Daniel Mann (1972),Another Part of the Forest ,Another Part of the Forest (1972),Another Part of the Forest ,Another Part of the Forest (1948)
Anthropophagous 2000 (1999) dir. Andreas Schnaas,1999,Antropophagus (1980) dir. Joe D'Amato,1980,19,Anthropophagous 2000 (1999) dir. Andreas Schnaas (1999),Anthropophagous 2000 ,Anthropophagous 2000 (1999),Antropophagus ,Antropophagus (1980)
Applause (1973) dir. Ron Field & Bill Foster,1973,All About Eve (1950) dir. Joseph L. Mankiewicz,1950,23,Applause (1973) dir. Ron Field & Bill Foster (1973),Applause ,Applause (1973),All About Eve ,All About Eve (1950)
April Fool's Day (2008) dir. Mitchell Altieri & Phil Flores,2008,April Fool's Day (1986) dir. Fred Walton,1986,22,April Fool's Day (2008) dir. Mitchell Altieri & Phil Flores (2008),April Fool's Day ,April Fool's Day (2008),April Fool's Day ,April Fool's Day (1986)
Bhool Bhulaiyaa (2008) dir. Priyadarshan,2008,Manichitrathazhu (1993) dir. Fazil,1993,15,Bhool Bhulaiyaa (2008) dir. Priyadarshan (2008),Bhool Bhulaiyaa ,Bhool Bhulaiyaa (2008),Manichitrathazhu ,Manichitrathazhu (1993)
Rajmohol (2005) dir. Swapan Saha,2005,Manichitrathazhu (1993) dir. Fazil,1993,12,Rajmohol (2005) dir. Swapan Saha (2005),Rajmohol ,Rajmohol (2005),Manichitrathazhu ,Manichitrathazhu (1993)
Chandramukhi (2005) dir. P. Vasu,2005,Manichitrathazhu (1993) dir. Fazil,1993,12,Chandramukhi (2005) dir. P. Vasu (2005),Chandramukhi ,Chandramukhi (2005),Manichitrathazhu ,Manichitrathazhu (1993)
Apthamitra (2004) dir. P. Vasu,2004,Manichitrathazhu (1993) dir. Fazil,1993,11,Apthamitra (2004) dir. P. Vasu (2004),Apthamitra ,Apthamitra (2004),Manichitrathazhu ,Manichitrathazhu (1993)
Around the World in 80 Days (1956) dir. Michael Anderson,1956,Around the World in Eighty Days (1919) dir. Richard Oswald,1919,37,Around the World in 80 Days (1956) dir. Michael Anderson (1956),Around the World in 80 Days ,Around the World in 80 Days (1956),Around the World in Eighty Days ,Around the World in Eighty Days (1919)
Around the World in 80 Days (2004) dir. Frank Coraci,2004,Around the World in Eighty Days (1919) dir. Richard Oswald,1919,85,Around the World in 80 Days (2004) dir. Frank Coraci (2004),Around the World in 80 Days ,Around the World in 80 Days (2004),Around the World in Eighty Days ,Around the World in Eighty Days (1919)
The Arena (2001) dir. Timur Bekmambetov,2001,The Arena (1974) dir. Steve Carver,1974,27,The Arena (2001) dir. Timur Bekmambetov (2001),The Arena ,The Arena (2001),The Arena ,The Arena (1974)
Arthur (2011) dir. Jason Winer,2011,Arthur (1981) dir. Steve Gordon,1981,30,Arthur (2011) dir. Jason Winer (2011),Arthur ,Arthur (2011),Arthur ,Arthur (1981)
Assault on Precinct 13 (2005) dir. Jean-Fran’_ois Richet,2005,Assault on Precinct 13 (1976) dir. John Carpenter,1976,29,Assault on Precinct 13 (2005) dir. Jean-Fran’_ois Richet (2005),Assault on Precinct 13 ,Assault on Precinct 13 (2005),Assault on Precinct 13 ,Assault on Precinct 13 (1976)
Attack of the 50 Ft. Woman (1993) dir. Christopher Guest,1993,Attack of the 50 Foot Woman (1958) dir. Nathan H. Juran,1958,35,Attack of the 50 Ft. Woman (1993) dir. Christopher Guest (1993),Attack of the 50 Ft. Woman ,Attack of the 50 Ft. Woman (1993),Attack of the 50 Foot Woman ,Attack of the 50 Foot Woman (1958)
The Bachelor (1999) dir. Gary Sinyor,1999,Seven Chances (1925) dir. Buster Keaton,1925,74,The Bachelor (1999) dir. Gary Sinyor (1999),The Bachelor ,The Bachelor (1999),Seven Chances ,Seven Chances (1925)
Bachelor Mother (1939) dir. Garson Kanin,1939,Little Mother (1935) dir. Henry Koster,1935,4,Bachelor Mother (1939) dir. Garson Kanin (1939),Bachelor Mother ,Bachelor Mother (1939),Little Mother ,Little Mother (1935)
Back Street (1941) dir. Robert Stevenson,1941,Back Street (1932) dir. John M. Stahl,1932,9,Back Street (1941) dir. Robert Stevenson (1941),Back Street ,Back Street (1941),Back Street ,Back Street (1932)
Back Street (1961) dir. David Miller,1961,Back Street (1932) dir. John M. Stahl,1932,29,Back Street (1961) dir. David Miller (1961),Back Street ,Back Street (1961),Back Street ,Back Street (1932)
Bad News Bears (2005) dir. Richard Linklater,2005,The Bad News Bears (1976) dir. Michael Ritchie,1976,29,Bad News Bears (2005) dir. Richard Linklater (2005),Bad News Bears ,Bad News Bears (2005),The Bad News Bears ,The Bad News Bears (1976)
The Ballad of Narayama (1983) dir. Shohei Imamura,1983,The Ballad of Narayama (1958) dir. Keisuke Kinoshita,1958,25,The Ballad of Narayama (1983) dir. Shohei Imamura (1983),The Ballad of Narayama ,The Ballad of Narayama (1983),The Ballad of Narayama ,The Ballad of Narayama (1958)
The Bad Seed (1985) dir. Paul Wendkos,1985,The Bad Seed (1956) dir. Mervyn LeRoy,1956,29,The Bad Seed (1985) dir. Paul Wendkos (1985),The Bad Seed ,The Bad Seed (1985),The Bad Seed ,The Bad Seed (1956)
Bangkok Dangerous (2008) dir. The Pang Brothers,2008,Bangkok Dangerous (1999) dir. The Pang Brothers,1999,9,Bangkok Dangerous (2008) dir. The Pang Brothers (2008),Bangkok Dangerous ,Bangkok Dangerous (2008),Bangkok Dangerous ,Bangkok Dangerous (1999)
A Night in Casablanca (1946) dir. Archie Mayo,1946,Casablanca (1942) dir. Michael Curtiz,1942,4,A Night in Casablanca (1946) dir. Archie Mayo (1946),A Night in Casablanca ,A Night in Casablanca (1946),Casablanca ,Casablanca (1942)
Barb Wire (1996) dir. David Hogan,1996,Casablanca (1942) dir. Michael Curtiz,1942,54,Barb Wire (1996) dir. David Hogan (1996),Barb Wire ,Barb Wire (1996),Casablanca ,Casablanca (1942)
The Magnificent Seven (1960) John Sturges,1960,Shichinin no samurai (1954) dir. Akira Kurosawa,1954,6,The Magnificent Seven (1960) John Sturges (1960),The Magnificent Seven ,The Magnificent Seven (1960),Shichinin no samurai ,Shichinin no samurai (1954)
Battle Beyond the Stars (1980) dir. Jimmy T. Murakami,1980,Shichinin no samurai (1954) dir. Akira Kurosawa,1954,26,Battle Beyond the Stars (1980) dir. Jimmy T. Murakami (1980),Battle Beyond the Stars ,Battle Beyond the Stars (1980),Shichinin no samurai ,Shichinin no samurai (1954)
The Magnificent Seven (2016) dir. Antoine Fuqua,2016,Shichinin no samurai (1954) dir. Akira Kurosawa,1954,62,The Magnificent Seven (2016) dir. Antoine Fuqua (2016),The Magnificent Seven ,The Magnificent Seven (2016),Shichinin no samurai ,Shichinin no samurai (1954)
The Battle of the Sexes (1928) dir. D. W. Griffith,1928,The Battle of the Sexes (1914) dir. D. W. Griffith,1914,14,The Battle of the Sexes (1928) dir. D. W. Griffith (1928),The Battle of the Sexes ,The Battle of the Sexes (1928),The Battle of the Sexes ,The Battle of the Sexes (1914)
The Beat that My Heart Skipped (2005) dir. Jacques Audiard,2005,Fingers (1978) dir. James Toback,1978,27,The Beat that My Heart Skipped (2005) dir. Jacques Audiard (2005),The Beat that My Heart Skipped ,The Beat that My Heart Skipped (2005),Fingers ,Fingers (1978)
The Last Remake Of Beau Geste (1977) dir. Marty Feldman,1977,"Beau Geste (1926) dir. Herbert BrenonBased on the book by P. C. Wren",1926,51,The Last Remake Of Beau Geste (1977) dir. Marty Feldman (1977),The Last Remake Of Beau Geste ,The Last Remake Of Beau Geste (1977),Beau Geste ,Beau Geste (1926)
Beau Geste (1966) dir. Douglas Heyes,1966,"Beau Geste (1926) dir. Herbert BrenonBased on the book by P. C. Wren",1926,40,Beau Geste (1966) dir. Douglas Heyes (1966),Beau Geste ,Beau Geste (1966),Beau Geste ,Beau Geste (1926)
Beau Geste (1939) dir. William A. Wellman,1939,"Beau Geste (1926) dir. Herbert BrenonBased on the book by P. C. Wren",1926,13,Beau Geste (1939) dir. William A. Wellman (1939),Beau Geste ,Beau Geste (1939),Beau Geste ,Beau Geste (1926)
Beauty and the Beast (2017) dir. Bill Condon,2017,Beauty and the Beast (1991) dir. Gary Trousdale & Kirk Wise,1991,26,Beauty and the Beast (2017) dir. Bill Condon (2017),Beauty and the Beast ,Beauty and the Beast (2017),Beauty and the Beast ,Beauty and the Beast (1991)
Bedazzled (2000) dir. Harold Ramis,2000,Bedazzled (1967) dir. Stanley Donen,1967,33,Bedazzled (2000) dir. Harold Ramis (2000),Bedazzled ,Bedazzled (2000),Bedazzled ,Bedazzled (1967)
The Beguiled (2017) dir. Sofia Coppola,2017,"The Beguiled (1971) dir. Don SiegelBased on the novel A Painted Devil by Thomas P. Cullinan",1971,46,The Beguiled (2017) dir. Sofia Coppola (2017),The Beguiled ,The Beguiled (2017),The Beguiled ,The Beguiled (1971)
Being Julia (2004) dir. Istv¥Ë_¥Ë_n Szab¥Ë__,2004,Adorable Julia (1964) dir. Alfred Weidenmann,1964,40,Being Julia (2004) dir. Istv¥Ë_¥Ë_n Szab¥Ë__ (2004),Being Julia ,Being Julia (2004),Adorable Julia ,Adorable Julia (1964)
Ben-Hur (1959) dir. William Wyler,1959,Ben-Hur (1925) dir. Fred Niblo,1925,34,Ben-Hur (1959) dir. William Wyler (1959),Ben-Hur ,Ben-Hur (1959),Ben-Hur ,Ben-Hur (1925)
Ben-Hur (2016) dir. Timur Bekmambetov,2016,Ben-Hur (1925) dir. Fred Niblo,1925,91,Ben-Hur (2016) dir. Timur Bekmambetov (2016),Ben-Hur ,Ben-Hur (2016),Ben-Hur ,Ben-Hur (1925)
Beongeoli Sam-ryong (1964) dir. Shin Sang-ok,1964,Beongeoli Sam-ryong (1929) dir. Na Woon-gyu,1929,35,Beongeoli Sam-ryong (1964) dir. Shin Sang-ok (1964),Beongeoli Sam-ryong ,Beongeoli Sam-ryong (1964),Beongeoli Sam-ryong ,Beongeoli Sam-ryong (1929)
Between Two Worlds (1944) dir. Edward A. Blatt,1944,Outward Bound (1930) dir. Robert Milton,1930,14,Between Two Worlds (1944) dir. Edward A. Blatt (1944),Between Two Worlds ,Between Two Worlds (1944),Outward Bound ,Outward Bound (1930)
Frutto acerbo (1934) dir. Carlo Ludovico Bragaglia,1934,A Precocious Girl (1934) dir. Max Neufeld and Richard Eichberg,1934,0,Frutto acerbo (1934) dir. Carlo Ludovico Bragaglia (1934),Frutto acerbo ,Frutto acerbo (1934),A Precocious Girl ,A Precocious Girl (1934)
Between Us Girls (1942) dir. Henry Koster,1942,A Precocious Girl (1934) dir. Max Neufeld and Richard Eichberg,1934,8,Between Us Girls (1942) dir. Henry Koster (1942),Between Us Girls ,Between Us Girls (1942),A Precocious Girl ,A Precocious Girl (1934)
Beyond a Reasonable Doubt (2009) dir. Peter Hyams,2009,Beyond a Reasonable Doubt (1956) dir. Fritz Lang,1956,53,Beyond a Reasonable Doubt (2009) dir. Peter Hyams (2009),Beyond a Reasonable Doubt ,Beyond a Reasonable Doubt (2009),Beyond a Reasonable Doubt ,Beyond a Reasonable Doubt (1956)
Broken Lance (1954) dir. Edward Dmytryk,1954,House of Strangers (1949) dir. Joseph L. Mankiewicz,1949,5,Broken Lance (1954) dir. Edward Dmytryk (1954),Broken Lance ,Broken Lance (1954),House of Strangers ,House of Strangers (1949)
The Big Show (1961) dir. James B. Clark,1961,House of Strangers (1949) dir. Joseph L. Mankiewicz,1949,12,The Big Show (1961) dir. James B. Clark (1961),The Big Show ,The Big Show (1961),House of Strangers ,House of Strangers (1949)
The Big Stampede (1932) dir. Tenny Wright,1932,Land Beyond the Law (1927) dir. Harry Joe Brown,1927,5,The Big Stampede (1932) dir. Tenny Wright (1932),The Big Stampede ,The Big Stampede (1932),Land Beyond the Law ,Land Beyond the Law (1927)
Mr. Smith Goes to Washington (1939) dir. Frank Capra,1939,Washington Merry-Go-Round (1932) dir. James Cruze,1932,7,Mr. Smith Goes to Washington (1939) dir. Frank Capra (1939),Mr. Smith Goes to Washington ,Mr. Smith Goes to Washington (1939),Washington Merry-Go-Round ,Washington Merry-Go-Round (1932)
Billy Jack Goes to Washington (1977) dir. Tom Laughlin,1977,Washington Merry-Go-Round (1932) dir. James Cruze,1932,45,Billy Jack Goes to Washington (1977) dir. Tom Laughlin (1977),Billy Jack Goes to Washington ,Billy Jack Goes to Washington (1977),Washington Merry-Go-Round ,Washington Merry-Go-Round (1932)
The Birdcage (1996) dir. Mike Nichols,1996,La Cage aux Folles (1978) dir. ¥Ë_¥Ë_douard Molinaro,1978,18,The Birdcage (1996) dir. Mike Nichols (1996),The Birdcage ,The Birdcage (1996),La Cage aux Folles ,La Cage aux Folles (1978)
Black Caesar (1973) dir. Larry Cohen,1973,Little Caesar (1931) dir. Mervyn LeRoy,1931,42,Black Caesar (1973) dir. Larry Cohen (1973),Black Caesar ,Black Caesar (1973),Little Caesar ,Little Caesar (1931)
Black Christmas (2006) dir. Glen Morgan,2006,Black Christmas (1974) dir. Bob Clark,1974,32,Black Christmas (2006) dir. Glen Morgan (2006),Black Christmas ,Black Christmas (2006),Black Christmas ,Black Christmas (1974)
Blame it on Rio (1984) dir. Stanley Donen,1984,Un moment d'egarement (1977) dir. Claude Berri,1977,7,Blame it on Rio (1984) dir. Stanley Donen (1984),Blame it on Rio ,Blame it on Rio (1984),Un moment d'egarement ,Un moment d'egarement (1977)
The Blob (1988) dir. Chuck Russell,1988,The Blob (1958) dir. Irvin S. Yeaworth Jr.,1958,30,The Blob (1988) dir. Chuck Russell (1988),The Blob ,The Blob (1988),The Blob ,The Blob (1958)
Blood Diner (1987) dir. Jackie Kong,1987,Blood Feast (1963) dir. Herschell Gordon Lewis,1963,24,Blood Diner (1987) dir. Jackie Kong (1987),Blood Diner ,Blood Diner (1987),Blood Feast ,Blood Feast (1963)
The Blue Angel (1959) dir. Edward Dmytryk,1959,The Blue Angel (1930) dir. Josef von Sternberg,1930,29,The Blue Angel (1959) dir. Edward Dmytryk (1959),The Blue Angel ,The Blue Angel (1959),The Blue Angel ,The Blue Angel (1930)
The Blue Bird (1940) dir. Walter Lang,1940,The Blue Bird (1918) dir. Maurice Tourneur,1918,22,The Blue Bird (1940) dir. Walter Lang (1940),The Blue Bird ,The Blue Bird (1940),The Blue Bird ,The Blue Bird (1918)
The Blue Bird (1976) dir. George Cukor,1976,The Blue Bird (1918) dir. Maurice Tourneur,1918,58,The Blue Bird (1976) dir. George Cukor (1976),The Blue Bird ,The Blue Bird (1976),The Blue Bird ,The Blue Bird (1918)
Bored of Education (1936) dir. Gordon Douglas,1936,Teacher's Pet (1930) dir. Robert F. McGowan,1930,6,Bored of Education (1936) dir. Gordon Douglas (1936),Bored of Education ,Bored of Education (1936),Teacher's Pet ,Teacher's Pet (1930)
Born Yesterday (1993) dir. Luis Mandoki,1993,"Born Yesterday (1950) dir. George CukorBased on the play by Garson Kanin",1950,43,Born Yesterday (1993) dir. Luis Mandoki (1993),Born Yesterday ,Born Yesterday (1993),Born Yesterday ,Born Yesterday (1950)
Boudu (2005) dir. G’©rard Jugnot,2005,Boudu Saved from Drowning (1932) dir. Jean Renoir,1932,73,Boudu (2005) dir. G’©rard Jugnot (2005),Boudu ,Boudu (2005),Boudu Saved from Drowning ,Boudu Saved from Drowning (1932)
The Boy Cried Murder (1966) dir. George P. Breakston,1966,"The Window (1949) dir. Ted TetzlaffBased on The Boy Cried Murder by Cornell Woolrich",1949,17,The Boy Cried Murder (1966) dir. George P. Breakston (1966),The Boy Cried Murder ,The Boy Cried Murder (1966),The Window ,The Window (1949)
Breathless (1983) dir. Jim McBride,1983,Breathless (1960) dir. Jean-Luc Godard,1960,23,Breathless (1983) dir. Jim McBride (1983),Breathless ,Breathless (1983),Breathless ,Breathless (1960)
Three on a Spree (1961) Sidney J. Furie,1961,Brewster's Millions (1945) dir. Allan Dwan,1945,16,Three on a Spree (1961) Sidney J. Furie (1961),Three on a Spree ,Three on a Spree (1961),Brewster's Millions ,Brewster's Millions (1945)
Brewster's Millions (1985) dir. Walter Hill,1985,Brewster's Millions (1945) dir. Allan Dwan,1945,40,Brewster's Millions (1985) dir. Walter Hill (1985),Brewster's Millions ,Brewster's Millions (1985),Brewster's Millions ,Brewster's Millions (1945)
Bride Wars (2015) dir. Tony Chan,2015,Bride Wars (2009) dir. Gary Winick,2009,6,Bride Wars (2015) dir. Tony Chan (2015),Bride Wars ,Bride Wars (2015),Bride Wars ,Bride Wars (2009)
Brian's Song (2001) dir. John Gray,2001,Brian's Song (1971) dir. Buzz Kulik,1971,30,Brian's Song (2001) dir. John Gray (2001),Brian's Song ,Brian's Song (2001),Brian's Song ,Brian's Song (1971)
Brothers (2009) dir. Jim Sheridan,2009,Br¥Ë_¥Ë_dre (2004) dir. Susanne Bier,2004,5,Brothers (2009) dir. Jim Sheridan (2009),Brothers ,Brothers (2009),Br¥Ë_¥Ë_dre ,Br¥Ë_¥Ë_dre (2004)
A Bucket of Blood (1995) dir. Michael McDonald,1995,A Bucket of Blood (1959) dir. Roger Corman,1959,36,A Bucket of Blood (1995) dir. Michael McDonald (1995),A Bucket of Blood ,A Bucket of Blood (1995),A Bucket of Blood ,A Bucket of Blood (1959)
Buddy Buddy (1981) dir. Billy Wilder,1981,L'Emmerdeur (1973) dir. Edouard Molinaro,1973,8,Buddy Buddy (1981) dir. Billy Wilder (1981),Buddy Buddy ,Buddy Buddy (1981),L'Emmerdeur ,L'Emmerdeur (1973)
The Buccaneer (1958) dir. Anthony Quinn,1958,The Buccaneer (1938) dir. Cecil B. DeMille,1938,20,The Buccaneer (1958) dir. Anthony Quinn (1958),The Buccaneer ,The Buccaneer (1958),The Buccaneer ,The Buccaneer (1938)
Bundle of Joy (1956) dir. Norman Taurog,1956,Bachelor Mother (1939) dir. Garson Kanin,1939,17,Bundle of Joy (1956) dir. Norman Taurog (1956),Bundle of Joy ,Bundle of Joy (1956),Bachelor Mother ,Bachelor Mother (1939)
The Burmese Harp (1985) dir. Kon Ichikawa,1985,The Burmese Harp (1956) dir. Kon Ichikawa,1956,29,The Burmese Harp (1985) dir. Kon Ichikawa (1985),The Burmese Harp ,The Burmese Harp (1985),The Burmese Harp ,The Burmese Harp (1956)
Cabin Fever (2016) dir. Travis Zariwny,2016,Cabin Fever (2002) dir. Eli Roth,2002,14,Cabin Fever (2016) dir. Travis Zariwny (2016),Cabin Fever ,Cabin Fever (2016),Cabin Fever ,Cabin Fever (2002)
The Cabinet of Dr. Caligari (2005) dir. David Lee Fisher,2005,The Cabinet of Dr. Caligari (1920) dir. Robert Wiene,1920,85,The Cabinet of Dr. Caligari (2005) dir. David Lee Fisher (2005),The Cabinet of Dr. Caligari ,The Cabinet of Dr. Caligari (2005),The Cabinet of Dr. Caligari ,The Cabinet of Dr. Caligari (1920)
Cape Fear (1991) dir. Martin Scorsese,1991,"Cape Fear (1962) dir. J. Lee ThompsonBased on the novel The Executioners by John D. MacDonald",1962,29,Cape Fear (1991) dir. Martin Scorsese (1991),Cape Fear ,Cape Fear (1991),Cape Fear ,Cape Fear (1962)
The Captain (1971) dir. Kurt Hoffmann,1971,"The Captain's Table (1959) dir. Jack LeeBased on a novel by Richard Gordon",1959,12,The Captain (1971) dir. Kurt Hoffmann (1971),The Captain ,The Captain (1971),The Captain's Table ,The Captain's Table (1959)
Carnival of Souls (1998) dir. Adam Grossman & Ian Kessner,1998,Carnival of Souls (1962) dir. Herk Harvey,1962,36,Carnival of Souls (1998) dir. Adam Grossman & Ian Kessner (1998),Carnival of Souls ,Carnival of Souls (1998),Carnival of Souls ,Carnival of Souls (1962)
Carrie (2002) dir. David Carson,2002,"Carrie (1976) dir. Brian De PalmaBased on the novel by Stephen King",1976,26,Carrie (2002) dir. David Carson (2002),Carrie ,Carrie (2002),Carrie ,Carrie (1976)
